nops,cycles
2162,14980
2163,15036
2164,14983
2165,14949
2166,14992
2167,15083
2168,15020
2169,15129
2170,15020
2171,15080
2172,15053
2173,15181
2174,15166
2175,15101
2176,15116
2177,15090
2178,15095
2179,15047
2180,15161
2181,15024
2182,15145
2183,15240
2184,15176
2185,15203
2186,15207
2187,15219
2188,15261
2189,15186
2190,15373
2191,15257
2192,15255
2193,15294
2194,15270
2195,15271
2196,15153
2197,15134
2198,15254
2199,15158
2200,15195
2201,15221
2202,15145
2203,15285
2204,15330
2205,15468
2206,15386
2207,15434
2208,15417
2209,15392
2210,15250
2211,15368
2212,15281
2213,15332
2214,15323
2215,15277
2216,15425
2217,15353
2218,15324
2219,15454
2220,15305
2221,15384
2222,15433
2223,15386
2224,15474
2225,15506
2226,15343
2227,15465
2228,15500
2229,15366
2230,15446
2231,15384
2232,15415
2233,15494
2234,15382
2235,15374
2236,15510
2237,15658
2238,15649
2239,15540
2240,15611
2241,15596
2242,15615
2243,15579
2244,15608
2245,15621
2246,15568
2247,15642
2248,15636
2249,15568
2250,15459
2251,15647
2252,15635
2253,15777
2254,15724
2255,15672
2256,15705
2257,15654
2258,15567
2259,15600
2260,15717
2261,15619
2262,15557
2263,15825
2264,15729
2265,15801
2266,15627
2267,15700
2268,15756
2269,15784
2270,15695
2271,15759
2272,15822
2273,15777
2274,15739
2275,15864
2276,15757
2277,16052
2278,15907
2279,15851
2280,15751
2281,15884
2282,15850
2283,15747
2284,15816
2285,15932
2286,16010
2287,15859
2288,15893
2289,15987
2290,15892
2291,15862
2292,15957
2293,15945
2294,15876
2295,16002
2296,16016
2297,15965
2298,15881
2299,15983
2300,15892
2301,16078
2302,15989
2303,15903
2304,15847
2305,16028
2306,16074
2307,16134
2308,16158
2309,16074
2310,15970
2311,16176
2312,16074
2313,15944
2314,16048
2315,16093
2316,16043
2317,16178
2318,16215
2319,16142
2320,16101
2321,16216
2322,16217
2323,16047
2324,16170
2325,16192
2326,16019
2327,16059
2328,16107
2329,16171
2330,16167
2331,16192
2332,16199
2333,16274
2334,16415
2335,16139
2336,16163
2337,16323
2338,16334
2339,16232
2340,16213
2341,16319
2342,16256
2343,16225
2344,16250
2345,16274
2346,16336
2347,16310
2348,16420
2349,16290
2350,16343
2351,16248
2352,16284
2353,16288
2354,16346
2355,16358
2356,16480
2357,16341
2358,16246
2359,16323
2360,16302
2361,16390
2362,16401
2363,16414
2364,16455
2365,16545
2366,16435
2367,16448
2368,16405
2369,16386
2370,16575
2371,16507
2372,16400
2373,16485
2374,16394
2375,16404
2376,16458
2377,16495
2378,16522
2379,16571
2380,16480
2381,16628
2382,16709
2383,16430
2384,16478
2385,16620
2386,16544
2387,16731
2388,16717
